R,k,p_k,p_k1,digits_N,F,f,u_up,u_dn,ncand_up,ncand_dn,q_k,T_up,T_dn
1,1055,8431,8443,3608.0,11897,10667,0.409096,0.263413,370,247,1.93992032e-03,0.717771,0.47916
1,1056,8443,8447,3612.0,8563,13469,0.013733,0.594531,11,541,1.93804102e-03,0.021318,1.04848
1,1057,8447,8461,3615.9,8599,16141,0.01631,0.907694,14,822,1.93616561e-03,0.027106,1.591528
1,1058,8461,8467,3619.8,23369,9479,1.760009,0.119523,1547,117,1.93429353e-03,2.992352,0.226312
1,1059,8467,8501,3623.8,18149,10357,1.134925,0.218327,1022,212,1.93242521e-03,1.974939,0.409674
1,1060,8501,8513,3627.7,9697,11981,0.139081,0.407377,137,377,1.93055912e-03,0.264487,0.727821
1,1061,8513,8521,3631.6,16033,9059,0.881587,0.063138,804,65,1.92869646e-03,1.550672,0.125365
1,1062,8521,8527,3635.5,9551,13577,0.120089,0.592236,121,544,1.92683741e-03,0.233147,1.0482
1,1063,8527,8537,3639.5,29339,10259,2.436687,0.20171,2125,195,1.92498209e-03,4.090587,0.375372
1,1064,8537,8539,3643.4,13043,12923,0.527462,0.513409,490,476,1.92313027e-03,0.942334,0.91541
1,1065,8539,8543,3647.3,20981,10163,1.455929,0.189629,1294,183,1.92128236e-03,2.486139,0.351595
1,1066,8543,8563,3651.3,9377,24181,0.09506,1.823893,94,1626,1.91943824e-03,0.180427,3.121007
1,1067,8563,8573,3655.2,25643,9377,1.991135,0.093783,1758,93,1.91759706e-03,3.371136,0.178337
1,1068,8573,8581,3659.1,9013,9689,0.050344,0.129122,53,128,1.91575934e-03,0.101535,0.245217
1,1069,8581,8597,3663.1,8647,9209,0.005816,0.071188,8,73,1.91392517e-03,0.015311,0.139717
1,1070,8597,8599,3667.0,20231,9539,1.352715,0.109315,1217,111,1.91209412e-03,2.327019,0.212242
1,1071,8599,8609,3670.9,9311,18793,0.081543,1.182948,81,1073,1.91026692e-03,0.154732,2.049716
1,1072,8609,8623,3674.9,14717,23687,0.706715,1.746956,650,1564,1.90844314e-03,1.240488,2.984805
1,1073,8623,8627,3678.8,11633,10069,0.348441,0.16715,326,163,1.90662256e-03,0.621559,0.310779
1,1074,8627,8629,3682.7,19333,15679,1.240468,0.817012,1117,756,1.90480569e-03,2.127668,1.440033
1,1075,8629,8641,3686.7,20921,11719,1.421132,0.356209,1278,332,1.90299262e-03,2.432025,0.631794
1,1076,8641,8647,3690.6,10223,10627,0.18226,0.228981,178,220,1.90118282e-03,0.338411,0.41826
1,1077,8647,8663,3694.6,10313,10513,0.190465,0.213552,188,209,1.89937661e-03,0.357083,0.39697
1,1078,8663,8669,3698.5,10477,9733,0.208559,0.122736,204,122,1.89757344e-03,0.387105,0.231504
1,1079,8669,8677,3702.4,8929,10091,0.029042,0.16296,31,159,1.89577383e-03,0.058769,0.301428
1,1080,8677,8681,3706.4,9137,9643,0.052529,0.110817,53,111,1.89397767e-03,0.100381,0.210232
1,1081,8681,8689,3710.3,12821,10177,0.475544,0.171251,447,169,1.89218514e-03,0.845807,0.319779
1,1082,8689,8693,3714.2,9677,8951,0.113195,0.029679,112,31,1.89039603e-03,0.211724,0.058602
1,1083,8693,8699,3718.2,14341,8713,0.64858,0.001609,599,3,1.88861054e-03,1.131278,0.005666
1,1084,8699,8707,3722.1,17321,10103,0.989319,0.160331,907,157,1.88682854e-03,1.711353,0.296232
1,1085,8707,8713,3726.1,15859,11807,0.820154,0.355102,763,330,1.88504995e-03,1.438293,0.622066
1,1086,8713,8719,3730.0,19273,22727,1.21046,1.606606,1100,1454,1.88327483e-03,2.071602,2.738282
1,1087,8719,8731,3733.9,26953,9059,2.087046,0.037567,1870,39,1.88150318e-03,3.518411,0.073379
1,1088,8731,8737,3737.9,12379,9769,0.416848,0.118118,390,117,1.87973470e-03,0.733097,0.219929
1,1089,8737,8741,3741.8,12497,20389,0.429699,1.332571,403,1214,1.87796967e-03,0.756822,2.279855
1,1090,8741,8747,3745.8,10957,8849,0.252658,0.011661,241,13,1.87620818e-03,0.452166,0.024391
1,1091,8747,8753,3749.7,15569,23909,0.778704,1.731521,725,1569,1.87445013e-03,1.358976,2.941012
1,1092,8753,8761,3753.7,15727,37589,0.795115,3.290492,740,2890,1.87269549e-03,1.385795,5.41209
1,1093,8761,8779,3757.6,13751,10687,0.566352,0.217337,533,210,1.87094417e-03,0.997213,0.392898
1,1094,8779,8783,3761.5,14699,19031,0.673574,1.166799,626,1068,1.86919567e-03,1.170116,1.996301
1,1095,8783,8803,3765.5,12703,17333,0.443031,0.968988,422,898,1.86745065e-03,0.788064,1.676971
1,1096,8803,8807,3769.4,11927,9787,0.354264,0.111275,333,111,1.86570834e-03,0.621281,0.207094
1,1097,8807,8819,3773.4,28541,12743,2.236308,0.444948,2007,424,1.86396950e-03,3.740987,0.790323
1,1098,8819,8821,3777.3,9463,8821,0.072781,0.0,74,1,1.86223374e-03,0.137805,0.001862
1,1099,8821,8831,3781.3,10039,11471,0.136791,0.298947,134,284,1.86050153e-03,0.249307,0.528382
1,1100,8831,8837,3785.2,13879,12049,0.570556,0.363472,540,344,1.85877247e-03,1.003737,0.639418
1,1101,8837,8839,3789.2,22973,24151,1.59905,1.732323,1462,1588,1.85704675e-03,2.715002,2.94899
1,1102,8839,8849,3793.1,10343,21179,0.168833,1.393378,168,1279,1.85532455e-03,0.311695,2.37296
1,1103,8849,8861,3797.0,11719,13679,0.322537,0.543731,304,512,1.85360548e-03,0.563496,0.949046
1,1104,8861,8863,3801.0,35251,15137,2.977321,0.707887,2651,664,1.85188943e-03,4.909359,1.229655
1,1105,8863,8867,3804.9,11239,11971,0.267509,0.350062,253,331,1.85017687e-03,0.468095,0.612409
1,1106,8867,8887,3808.9,10937,10069,0.230674,0.133003,222,130,1.84846770e-03,0.41036,0.240301
1,1107,8887,8893,3812.8,9137,10133,0.027437,0.139436,26,136,1.84676114e-03,0.048016,0.25116
1,1108,8893,8923,3816.8,24083,12323,1.69898,0.381038,1571,364,1.84505786e-03,2.898586,0.671601
1,1109,8923,8929,3820.7,9371,11621,0.049502,0.30149,50,289,1.84335672e-03,0.092168,0.53273
1,1110,8929,8933,3824.7,16189,9511,0.812269,0.064704,772,68,1.84165883e-03,1.421761,0.125233
1,1111,8933,8941,3828.6,14177,17837,0.585617,0.994967,558,934,1.83996429e-03,1.0267,1.718527
1,1112,8941,8951,3832.6,10177,9221,0.136968,0.030164,138,31,1.83827289e-03,0.253682,0.056986
1,1113,8951,8963,3836.5,14947,9091,0.667634,0.014281,637,15,1.83658454e-03,1.169904,0.027549
1,1114,8963,8969,3840.5,19571,17387,1.182072,0.938566,1106,885,1.83489914e-03,2.029398,1.623886
1,1115,8969,8971,3844.4,11821,8971,0.31769,0.0,302,1,1.83321695e-03,0.553632,0.001833
1,1116,8971,8999,3848.4,15101,9349,0.678075,0.038893,648,42,1.83153814e-03,1.186837,0.076925
1,1117,8999,9001,3852.4,15427,22531,0.713921,1.503166,685,1401,1.82986153e-03,1.253455,2.563636
1,1118,9001,9007,3856.3,12263,13577,0.361497,0.507383,348,488,1.82818828e-03,0.63621,0.892156
1,1119,9007,9011,3860.3,21851,12659,1.424925,0.404839,1332,394,1.82651821e-03,2.432922,0.719648
1,1120,9011,9013,3864.2,10601,10333,0.17619,0.146455,173,148,1.82485141e-03,0.315699,0.270078
1,1121,9013,9029,3868.2,9281,9293,0.02791,0.029239,28,30,1.82318794e-03,0.051049,0.054696
1,1122,9029,9041,3872.1,22571,19553,1.496516,1.162703,1401,1096,1.82152717e-03,2.55196,1.996394
1,1123,9041,9043,3876.1,10391,14389,0.149066,0.591175,150,563,1.81986928e-03,0.27298,1.024586
1,1124,9043,9049,3880.0,9467,15299,0.046193,0.690684,49,663,1.81821470e-03,0.089093,1.205476
1,1125,9049,9059,3884.0,11177,12611,0.233801,0.392096,230,381,1.81656324e-03,0.41781,0.692111
1,1126,9059,9067,3888.0,11287,19913,0.244844,1.196206,239,1125,1.81491473e-03,0.433765,2.041779
1,1127,9067,9091,3891.9,14783,10853,0.626114,0.193818,606,192,1.81326923e-03,1.098841,0.348148
1,1128,9091,9103,3895.9,9497,10607,0.043282,0.16522,49,166,1.81162604e-03,0.08877,0.30073
1,1129,9103,9109,3899.8,17467,11549,0.917554,0.267867,879,262,1.80998567e-03,1.590977,0.474216
1,1130,9109,9127,3903.8,12347,10853,0.352799,0.189109,345,189,1.80834839e-03,0.62388,0.341778
1,1131,9127,9133,3907.8,14779,21557,0.618198,1.360342,601,1287,1.80671367e-03,1.085835,2.32524
1,1132,9133,9137,3911.7,12823,14431,0.403415,0.579402,397,560,1.80508201e-03,0.716618,1.010846
1,1133,9137,9151,3915.7,12157,18289,0.328489,0.998579,322,963,1.80345350e-03,0.580712,1.736726
1,1134,9151,9157,3919.6,19417,13121,1.120454,0.432893,1064,427,1.80182770e-03,1.917145,0.76938
1,1135,9157,9161,3923.6,9787,9859,0.068333,0.076193,72,82,1.80020494e-03,0.129615,0.147617
1,1136,9161,9173,3927.6,10667,15439,0.162869,0.683092,166,667,1.79858531e-03,0.298565,1.199656
1,1137,9173,9181,3931.5,15443,20753,0.682061,1.260429,667,1201,1.79696844e-03,1.198578,2.158159
1,1138,9181,9187,3935.5,16477,14713,0.793513,0.601502,771,583,1.79535451e-03,1.384218,1.046692
1,1139,9187,9199,3939.4,21851,17029,1.375367,0.851179,1312,825,1.79374359e-03,2.353392,1.479838
1,1140,9199,9203,3943.4,9787,11447,0.063458,0.243834,67,241,1.79213542e-03,0.120073,0.431905
1,1141,9203,9209,3947.4,11353,12841,0.232816,0.394397,231,390,1.79053032e-03,0.413613,0.698307
1,1142,9209,9221,3951.3,16267,19681,0.764125,1.134367,748,1085,1.78892822e-03,1.338118,1.940987
1,1143,9221,9227,3955.3,12497,32611,0.354395,2.534302,349,2358,1.78732883e-03,0.623778,4.214521
1,1144,9227,9239,3959.3,9689,15887,0.048707,0.719558,52,707,1.78573242e-03,0.092858,1.262513
1,1145,9239,9241,3963.2,10831,25763,0.172059,1.787902,171,1692,1.78413872e-03,0.305088,3.018763
1,1146,9241,9257,3967.2,14551,11959,0.571892,0.291887,559,288,1.78254815e-03,0.996444,0.513374
1,1147,9257,9277,3971.2,9619,13499,0.036865,0.455104,40,453,1.78096010e-03,0.071238,0.806775
1,1148,9277,9281,3975.1,18457,12227,0.988687,0.317423,967,313,1.77937440e-03,1.720655,0.556944
1,1149,9281,9283,3979.1,13249,28771,0.427233,2.099321,426,1985,1.77779172e-03,0.757339,3.528917
1,1150,9283,9293,3983.1,10103,9677,0.087162,0.041321,91,44,1.77621214e-03,0.161635,0.078153
1,1151,9293,9311,3987.0,10247,20287,0.100526,1.178821,105,1141,1.77463530e-03,0.186337,2.024859
1,1152,9311,9319,3991.0,17609,12041,0.88958,0.292091,873,290,1.77306088e-03,1.547882,0.514188
1,1153,9319,9323,3995.0,17041,16927,0.827845,0.815617,813,799,1.77148928e-03,1.440221,1.41542
1,1154,9323,9337,3998.9,11959,22871,0.280818,1.449502,280,1400,1.76992065e-03,0.495578,2.477889
1,1155,9337,9341,4002.9,9629,13691,0.030832,0.465689,34,463,1.76835458e-03,0.060124,0.818748
1,1156,9341,9343,4006.9,26879,13859,1.876913,0.483357,1792,481,1.76679148e-03,3.16609,0.849827
1,1157,9343,9349,4010.9,31177,15083,2.334795,0.613328,2201,605,1.76523140e-03,3.885274,1.067965
1,1158,9349,9371,4014.8,14629,10891,0.561093,0.162203,555,167,1.76367419e-03,0.978839,0.294534
1,1159,9371,9377,4018.8,15277,11443,0.629199,0.220326,625,221,1.76211919e-03,1.101324,0.389428
1,1160,9377,9391,4022.8,9829,13043,0.04664,0.388883,52,394,1.76056703e-03,0.091549,0.693663
1,1161,9391,9397,4026.7,9767,9679,0.039374,0.03001,43,34,1.75901740e-03,0.075638,0.059807
1,1162,9397,9403,4030.7,11959,12841,0.271828,0.365628,272,369,1.75747060e-03,0.478032,0.648507
1,1163,9403,9413,4034.7,21017,15139,1.232763,0.608308,1201,606,1.75592662e-03,2.108868,1.064092
1,1164,9413,9419,4038.7,11059,12101,0.174116,0.284744,176,284,1.75438531e-03,0.308772,0.498245
1,1165,9419,9421,4042.6,17989,9907,0.909458,0.051587,899,57,1.75284680e-03,1.575809,0.099912
1,1166,9421,9431,4046.6,11087,14537,0.175591,0.541406,178,536,1.75131126e-03,0.311733,0.938703
1,1167,9431,9433,4050.6,11317,13597,0.199724,0.441429,201,441,1.74977836e-03,0.351705,0.771652
1,1168,9433,9437,4054.6,10039,24971,0.063791,1.646074,65,1591,1.74824840e-03,0.113636,2.781463
1,1169,9437,9439,4058.5,15377,11971,0.629092,0.268249,628,267,1.74672130e-03,1.096941,0.466375
1,1170,9439,9461,4062.5,10559,19289,0.116055,1.038791,119,1017,1.74519712e-03,0.207678,1.774865
1,1171,9461,9463,4066.5,22279,15527,1.354327,0.640812,1325,641,1.74367509e-03,2.310369,1.117696
1,1172,9463,9467,4070.5,23269,29287,1.457906,2.093588,1422,2010,1.74215597e-03,2.477346,3.501733
1,1173,9467,9473,4074.4,12071,19417,0.274253,1.04972,272,1025,1.74063967e-03,0.473454,1.784156
1,1174,9473,9479,4078.4,12659,15749,0.335478,0.661462,339,663,1.73912612e-03,0.589564,1.153041
1,1175,9479,9491,4082.4,17107,10733,0.802444,0.130861,797,134,1.73761531e-03,1.384879,0.23284
1,1176,9491,9497,4086.4,11149,13309,0.17395,0.40139,174,404,1.73610699e-03,0.302083,0.701387
1,1177,9497,9511,4090.3,19009,21179,0.998633,1.22679,983,1204,1.73460139e-03,1.705113,2.08846
1,1178,9511,9521,4094.3,24977,11467,1.623359,0.20439,1582,204,1.73309819e-03,2.741761,0.353552
1,1179,9521,9533,4098.3,16001,12107,0.678485,0.270009,684,270,1.73159755e-03,1.184413,0.467531
1,1180,9533,9539,4102.3,11527,15319,0.208408,0.605934,210,610,1.73009938e-03,0.363321,1.055361
1,1181,9539,9547,4106.3,23789,13553,1.491778,0.419608,1465,423,1.72860390e-03,2.532405,0.731199
1,1182,9547,9551,4110.2,12553,9811,0.314313,0.027222,318,28,1.72711103e-03,0.549221,0.048359
1,1183,9551,9587,4114.2,11593,10477,0.209242,0.092834,212,99,1.72562092e-03,0.365832,0.170836
1,1184,9587,9601,4118.2,10883,10639,0.133528,0.108114,139,114,1.72413235e-03,0.239654,0.196551
1,1185,9601,9613,4122.2,22391,39841,1.329242,3.144492,1321,3003,1.72264614e-03,2.275616,5.173106
1,1186,9613,9619,4126.2,18583,10723,0.931906,0.114773,940,121,1.72116237e-03,1.617893,0.208261
1,1187,9619,9623,4130.2,12583,23857,0.307596,1.479165,316,1466,1.71968125e-03,0.543419,2.521053
1,1188,9623,9629,4134.1,15797,17791,0.640565,0.847648,655,854,1.71820286e-03,1.125423,1.467345
1,1189,9629,9631,4138.1,13757,12487,0.428408,0.296542,438,301,1.71672711e-03,0.751926,0.516735
1,1190,9631,9643,4142.1,20023,13147,1.076428,0.363372,1075,373,1.71525415e-03,1.843898,0.63979
1,1191,9643,9649,4146.1,11657,14423,0.208104,0.494766,209,500,1.71378358e-03,0.358181,0.856892
1,1192,9649,9661,4150.1,9941,23321,0.028983,1.413932,34,1408,1.71231564e-03,0.058219,2.41094
1,1193,9661,9677,4154.1,14387,10987,0.486721,0.135373,492,141,1.71085009e-03,0.841738,0.24123
1,1194,9677,9679,4158.0,10103,12301,0.043806,0.270896,47,277,1.70938678e-03,0.080341,0.4735
1,1195,9679,9689,4162.0,22453,20347,1.31737,1.10001,1317,1103,1.70792621e-03,2.249339,1.883843
1,1196,9689,9697,4166.0,14557,11743,0.501186,0.210993,510,213,1.70646810e-03,0.870299,0.363478
1,1197,9697,9719,4170.0,10531,13879,0.083548,0.428028,91,443,1.70501249e-03,0.155156,0.755321
1,1198,9719,9721,4174.0,16649,10613,0.712684,0.09176,727,97,1.70355889e-03,1.238487,0.165245
1,1199,9721,9733,4178.0,12583,29347,0.292818,2.015206,304,1990,1.70210801e-03,0.517441,3.387195
1,1200,9733,9739,4182.0,28069,29453,1.882123,2.024232,1862,2001,1.70065947e-03,3.166628,3.40302
1,1201,9739,9743,4186.0,9787,12671,0.004516,0.300523,6,313,1.69921350e-03,0.010195,0.531854
1,1202,9743,9749,4189.9,9941,16477,0.019694,0.690122,24,707,1.69777016e-03,0.040746,1.200324
1,1203,9749,9767,4193.9,13567,13313,0.389065,0.363059,402,378,1.69632937e-03,0.681924,0.641213
1,1204,9767,9769,4197.9,11311,23531,0.157846,1.408742,163,1411,1.69489068e-03,0.276267,2.391491
1,1205,9769,9781,4201.9,11551,11393,0.180963,0.164809,187,170,1.69345468e-03,0.316676,0.287887
1,1206,9781,9787,4205.9,11213,12973,0.145703,0.325534,151,339,1.69202099e-03,0.255495,0.573595
1,1207,9787,9791,4209.9,19843,22193,1.026657,1.266673,1038,1282,1.69058982e-03,1.754832,2.167336
1,1208,9791,9803,4213.9,10091,16979,0.029379,0.732021,30,749,1.68916125e-03,0.050675,1.265182
1,1209,9803,9811,4217.9,11251,15803,0.146774,0.610743,151,635,1.68773496e-03,0.254848,1.071712
1,1210,9811,9817,4221.9,10151,10429,0.034023,0.062341,36,66,1.68631111e-03,0.060707,0.111297
1,1211,9817,9829,4225.9,25621,13313,1.606674,0.354461,1611,370,1.68488976e-03,2.714357,0.623409
1,1212,9829,9833,4229.8,13309,11981,0.353504,0.218448,368,225,1.68347069e-03,0.619517,0.378781
1,1213,9833,9839,4233.8,21859,48157,1.221669,3.894501,1239,3745,1.68205417e-03,2.084065,6.299293
1,1214,9839,9851,4237.8,13241,22273,0.344127,1.260989,360,1280,1.68064012e-03,0.60503,2.151219
1,1215,9851,9857,4241.8,11789,13807,0.196003,0.40073,198,418,1.67922834e-03,0.332487,0.701917
1,1216,9857,9859,4245.8,13003,15217,0.318896,0.543463,333,560,1.67781903e-03,0.558714,0.939579
1,1217,9859,9871,4249.8,17107,12119,0.733056,0.227738,755,235,1.67641231e-03,1.265691,0.393957
1,1218,9871,9883,4253.8,15017,13723,0.519478,0.388546,538,406,1.67500783e-03,0.901154,0.680053
1,1219,9883,9887,4257.8,19013,11587,0.92303,0.171943,942,175,1.67360560e-03,1.576536,0.292881
1,1220,9887,9901,4261.8,31321,10771,2.163418,0.08787,2156,92,1.67220587e-03,3.605276,0.153843
1,1221,9901,9907,4265.8,10987,15061,0.109014,0.520238,113,538,1.67080830e-03,0.188801,0.898895
1,1222,9907,9923,4269.8,12163,14851,0.225738,0.496624,235,518,1.66941316e-03,0.392312,0.864756
1,1223,9923,9929,4273.8,19979,19273,1.012187,0.941082,1036,963,1.66802010e-03,1.728069,1.606303
1,1224,9929,9931,4277.8,11549,17827,0.162924,0.795086,167,820,1.66662946e-03,0.278327,1.366636
1,1225,9931,9941,4281.8,10883,14149,0.094759,0.423297,98,440,1.66524136e-03,0.163194,0.732706
1,1226,9941,9949,4285.8,11743,29501,0.18032,1.965223,183,1978,1.66385553e-03,0.304486,3.291106
1,1227,9949,9967,4289.8,12269,12289,0.230962,0.232969,240,243,1.66247203e-03,0.398993,0.403981
1,1228,9967,9973,4293.8,11969,12113,0.20014,0.214579,207,223,1.66109052e-03,0.343846,0.370423
1,1229,9973,10007,4297.8,11827,12821,0.181873,0.281203,189,299,1.65971139e-03,0.313685,0.496254
1,1230,10007,10009,4301.8,15919,12343,0.590469,0.23319,626,244,1.65833371e-03,1.038117,0.404633
1,1231,10009,10037,4305.8,22157,13411,1.207532,0.336156,1254,359,1.65695854e-03,2.077826,0.594848
1,1232,10037,10039,4309.8,10733,16381,0.06913,0.631736,77,668,1.65558501e-03,0.12748,1.105931
1,1233,10039,10061,4313.8,12697,10429,0.262002,0.036577,283,43,1.65421398e-03,0.468143,0.071131
1,1234,10061,10067,4317.8,15937,17971,0.583093,0.78514,624,826,1.65284479e-03,1.031375,1.36525
1,1235,10067,10069,4321.8,11909,13591,0.182739,0.349786,192,372,1.65147795e-03,0.317084,0.61435
1,1236,10069,10079,4325.8,13553,15497,0.344677,0.537553,368,574,1.65011359e-03,0.607242,0.947165
1,1237,10079,10091,4329.8,10957,10639,0.085819,0.054306,94,61,1.64875144e-03,0.154983,0.100574
1,1238,10091,10093,4333.8,17989,11953,0.782324,0.184286,826,195,1.64739143e-03,1.360745,0.321241
1,1239,10093,10099,4337.8,14887,35363,0.474106,2.501634,505,2528,1.64603389e-03,0.831247,4.161174
1,1240,10099,10103,4341.8,18793,11471,0.860141,0.135405,904,143,1.64467867e-03,1.48679,0.235189
1,1241,10103,10111,4345.8,11311,13183,0.118683,0.303828,126,328,1.64332584e-03,0.207059,0.539011
1,1242,10111,10133,4349.8,14779,20071,0.458502,0.980756,490,1028,1.64197525e-03,0.804568,1.687951
1,1243,10133,10139,4353.8,11831,14639,0.16688,0.443831,176,472,1.64062646e-03,0.28875,0.774376
1,1244,10139,10141,4357.8,28669,10513,1.827039,0.036683,1880,42,1.63927997e-03,3.081846,0.06885
1,1245,10141,10151,4361.8,16631,19927,0.638361,0.963058,678,1008,1.63793590e-03,1.110521,1.651039
1,1246,10151,10159,4365.8,16319,14143,0.606359,0.392165,647,418,1.63659400e-03,1.058876,0.684096
1,1247,10159,10163,4369.8,13763,11273,0.354226,0.10922,382,116,1.63525432e-03,0.624667,0.18969
1,1248,10163,10169,4373.9,12799,15227,0.258629,0.497394,278,529,1.63391698e-03,0.454229,0.864342
1,1249,10169,10177,4377.9,15913,16937,0.563624,0.664243,606,705,1.63258192e-03,0.989345,1.15097
1,1250,10177,10181,4381.9,16921,12527,0.662017,0.230429,701,246,1.63124906e-03,1.143506,0.401287
1,1251,10181,10193,4385.9,15199,11579,0.491121,0.135976,524,142,1.62991853e-03,0.854077,0.231448
1,1252,10193,10211,4389.9,22409,13763,1.194594,0.34786,1256,377,1.62859006e-03,2.045509,0.613978
1,1253,10211,10223,4393.9,11981,27017,0.171965,1.642766,184,1710,1.62726347e-03,0.299416,2.782621
1,1254,10223,10243,4397.9,18313,13241,0.787855,0.292688,846,320,1.62593893e-03,1.375544,0.5203
1,1255,10243,10247,4401.9,23117,10427,1.255977,0.017566,1326,20,1.62461621e-03,2.154241,0.032492
1,1256,10247,10253,4405.9,12601,11447,0.229006,0.116454,249,125,1.62329578e-03,0.404201,0.202912
1,1257,10253,10259,4409.9,18451,12409,0.798518,0.209572,857,224,1.62197758e-03,1.390035,0.363323
1,1258,10259,10267,4413.9,35573,10627,2.46479,0.035064,2530,38,1.62066160e-03,4.100274,0.061585
1,1259,10267,10271,4418.0,13799,13009,0.343491,0.266576,373,292,1.61934779e-03,0.604017,0.47285
1,1260,10271,10273,4422.0,14627,18451,0.423829,0.796067,452,854,1.61803625e-03,0.731352,1.381803
1,1261,10273,10289,4426.0,11149,14519,0.083584,0.411119,89,439,1.61672704e-03,0.143889,0.709743
1,1262,10289,10301,4430.0,11299,11149,0.096884,0.082322,104,88,1.61541973e-03,0.168004,0.142157
1,1263,10301,10303,4434.0,17989,12347,0.745996,0.198389,801,212,1.61411443e-03,1.292906,0.342192
1,1264,10303,10313,4438.0,14143,10433,0.371376,0.011636,400,13,1.61281144e-03,0.645125,0.020967
1,1265,10313,10321,4442.0,11257,12689,0.090689,0.229435,96,250,1.61151052e-03,0.154705,0.402878
1,1266,10321,10331,4446.0,13043,35281,0.262511,2.415061,288,2493,1.61021172e-03,0.463741,4.014258
1,1267,10331,10333,4450.1,11551,14533,0.117875,0.406465,125,434,1.60891498e-03,0.201114,0.698269
1,1268,10333,10337,4454.1,10399,13633,0.005998,0.318855,6,344,1.60762053e-03,0.009646,0.553021
1,1269,10337,10343,4458.1,36739,14593,2.552064,0.410906,2626,441,1.60632830e-03,4.218218,0.708391
1,1270,10343,10357,4462.1,17599,13217,0.699237,0.276142,754,301,1.60503824e-03,1.210199,0.483117
1,1271,10357,10369,4466.1,14107,14449,0.360498,0.393481,392,424,1.60375008e-03,0.62867,0.67999
1,1272,10369,10391,4470.1,14423,23971,0.388028,1.3069,419,1393,1.60246390e-03,0.671432,2.232232
1,1273,10391,10399,4474.1,17401,11483,0.673334,0.104241,729,111,1.60117938e-03,1.16726,0.177731
1,1274,10399,10427,4478.2,11027,14057,0.057543,0.348135,63,384,1.59989695e-03,0.100794,0.61436
1,1275,10427,10429,4482.2,13907,30013,0.333493,1.877841,369,1972,1.59861600e-03,0.589889,3.152471
1,1276,10429,10433,4486.2,18401,17573,0.76373,0.684367,832,744,1.59733730e-03,1.328985,1.188419
1,1277,10433,10453,4490.2,14879,11399,0.423419,0.0905,466,99,1.59606078e-03,0.743764,0.15801
1,1278,10453,10457,4494.2,12301,10837,0.176341,0.036339,193,39,1.59478598e-03,0.307794,0.062197
1,1279,10457,10459,4498.3,13907,13339,0.329668,0.275361,365,306,1.59351335e-03,0.581632,0.487615
1,1280,10459,10463,4502.3,16007,11057,0.529867,0.056771,584,59,1.59224295e-03,0.92987,0.093942
1,1281,10463,10477,4506.3,21277,11863,1.030829,0.13229,1109,141,1.59097471e-03,1.764391,0.224327
1,1282,10477,10487,4510.3,19937,20507,0.901116,0.955469,972,1032,1.58970834e-03,1.545197,1.640579
1,1283,10487,10499,4514.3,23789,13681,1.265835,0.303076,1363,333,1.58844395e-03,2.165049,0.528952
1,1284,10499,10501,4518.4,10631,11719,0.01238,0.115989,13,123,1.58718148e-03,0.020633,0.195223
1,1285,10501,10513,4522.4,13259,21713,0.2612,1.065348,291,1151,1.58592121e-03,0.461503,1.825395
1,1286,10513,10529,4526.4,11959,24181,0.135815,1.296609,148,1406,1.58466284e-03,0.23453,2.228036
1,1287,10529,10531,4530.4,15823,11909,0.502516,0.130852,560,140,1.58340627e-03,0.886708,0.221677
1,1288,10531,10559,4534.4,27773,13619,1.630268,0.2898,1743,322,1.58215188e-03,2.757691,0.509453
1,1289,10559,10567,4538.5,15877,17837,0.502508,0.687991,560,756,1.58089893e-03,0.885303,1.19516
1,1290,10567,10589,4542.5,12757,14633,0.204741,0.381906,232,424,1.57964798e-03,0.366478,0.669771
1,1291,10589,10597,4546.5,13313,11243,0.256299,0.060961,290,68,1.57839864e-03,0.457736,0.107331
1,1292,10597,10601,4550.5,13613,10859,0.284124,0.024337,317,28,1.57715130e-03,0.499957,0.04416
1,1293,10601,10607,4554.6,10847,13759,0.022627,0.297162,25,335,1.57590607e-03,0.039398,0.527929
1,1294,10607,10613,4558.6,18701,17909,0.762084,0.687459,841,758,1.57466287e-03,1.324291,1.193594
1,1295,10613,10627,4562.6,11701,13921,0.101063,0.309965,110,351,1.57342172e-03,0.173076,0.552271
1,1296,10627,10631,4566.6,28297,18691,1.661744,0.75816,1786,838,1.57218238e-03,2.807918,1.317489
1,1297,10631,10639,4570.7,23677,14009,1.225491,0.316759,1338,356,1.57094512e-03,2.101925,0.559256
1,1298,10639,10651,4574.7,16001,27893,0.5023,1.618815,565,1746,1.56970983e-03,0.886886,2.740713
1,1299,10651,10657,4578.7,14437,17291,0.354696,0.622502,394,688,1.56847640e-03,0.61798,1.079112
1,1300,10657,10663,4582.8,13457,12049,0.262028,0.129982,295,144,1.56724498e-03,0.462337,0.225683
1,1301,10663,10667,4586.8,12941,23057,0.213181,1.161526,240,1273,1.56601557e-03,0.375844,1.993538
1,1302,10667,10687,4590.8,26681,16223,1.496585,0.518013,1622,583,1.56478822e-03,2.538086,0.912272
1,1303,10687,10691,4594.8,16183,22817,0.513703,1.134225,577,1247,1.56356248e-03,0.902176,1.949762
1,1304,10691,10709,4598.9,12421,13297,0.159866,0.241666,179,275,1.56233880e-03,0.279659,0.429643
1,1305,10709,10711,4602.9,12781,21997,0.193259,1.053683,219,1159,1.56111678e-03,0.341885,1.809334
